INCIDENT_KEY,OCCUR_DATE,OCCUR_TIME,BORO,LOC_OF_OCCUR_DESC,PRECINCT,JURISDICTION_CODE,LOC_CLASSFCTN_DESC,LOCATION_DESC,STATISTICAL_MURDER_FLAG,PERP_AGE_GROUP,PERP_SEX,PERP_RACE,VIC_AGE_GROUP,VIC_SEX,VIC_RACE,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lon_Lat
228798151,05/27/2021,21:30:00,QUEENS,,105,0,,,false,,,,18-24,M,BLACK,1058925,180924,40.662964620000025,-73.73083868899994,POINT (-73.73083868899994 40.662964620000025)
137471050,06/27/2014,17:40:00,BRONX,,40,0,,,false,,,,18-24,M,BLACK,1005028.000000000000000,234516.000000000000000,40.810351863000051,-73.92494232599995,POINT (-73.92494232599995 40.81035186300006)
147998800,11/21/2015,03:56:00,QUEENS,,108,0,,,true,,,,25-44,M,WHITE,1007667.937500000000000,209836.531250000000000,40.742606633000037,-73.915491741999972,POINT (-73.91549174199997 40.74260663300004)
146837977,10/09/2015,18:30:00,BRONX,,44,0,,,false,,,,<18,M,WHITE HISPANIC,1006537.375000000000000,244511.140625000000000,40.837782003000029,-73.919456614999945,POINT (-73.91945661499994 40.83778200300003)
58921844,02/19/2009,22:58:00,BRONX,,47,0,,,true,25-44,M,BLACK,45-64,M,BLACK,1024921.812500000000000,262189.406250000000000,40.886237918000063,-73.852909508999971,POINT (-73.85290950899997 40.88623791800006)
219559682,10/21/2020,21:36:00,BROOKLYN,,81,0,,,true,,,,25-44,M,BLACK,1004234.312500000000000,186461.703125000000000,40.678456718000064,-73.927952240999957,POINT (-73.92795224099996 40.678456718000064)
85295722,06/17/2012,22:47:00,QUEENS,,114,0,,,false,,,,25-44,M,BLACK,998860.000000000000000,214885.000000000000000,40.756482343000073,-73.947266493999962,POINT (-73.94726649399996 40.75648234300007)
71662474,03/08/2010,19:41:00,BROOKLYN,,81,0,,,true,,,,18-24,M,BLACK,1002882.875000000000000,192219.703125000000000,40.694264056000065,-73.932808636999937,POINT (-73.93280863699994 40.694264056000065)
83002139,02/05/2012,05:45:00,QUEENS,,105,0,,,false,,,,25-44,M,BLACK,1054366.375000000000000,196628.406250000000000,40.706106731000034,-73.747106538999958,POINT (-73.74710653899996 40.706106731000034)
86437261,08/26/2012,01:10:00,QUEENS,,101,0,,MULTI DWELL - APT BUILD,false,25-44,M,BLACK,25-44,M,BLACK,1053936.625000000000000,157130.421875000000000,40.597697198000049,-73.749064641999951,POINT (-73.74906464199995 40.59769719800005)
